neuron,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
3,pre:tok:in,pre,pre:tok,0.0,1,0.0005738688,-0.0071000154,0.013591588
2,pre:tok:in,pre,pre:tok,0.0,1,-0.028240746,-0.018325444,-0.01801046
1,pre:tok:in,pre,pre:tok,0.0,1,0.0047763498,0.0021374722,0.014035168
4,pre:tok:in,pre,pre:tok,0.0,1,-0.03327432,0.009516349,0.005223358
5,pre:tok:in,pre,pre:tok,0.0,1,-0.01811511,0.01101393,0.029370204
7,pre:tok:in,pre,pre:tok,0.0,1,-0.017232083,-0.0118125025,0.0006597078
9,pre:tok:in,pre,pre:tok,0.0,1,-0.015833614,0.0036869862,-0.023049906
10,pre:tok:in,pre,pre:tok,0.0,1,0.026105339,0.008309716,-0.005927887
11,pre:tok:in,pre,pre:tok,0.0,1,-0.039270308,0.0039053678,-0.08502867
12,pre:tok:in,pre,pre:tok,0.0,1,-0.01652821,-0.014502258,-0.03231055
8,((((hyp:tok:flags OR pre:tok:pots) AND hyp:tag:jj) OR hyp:tok:magazine) AND pre:tag:nns),((((hyp OR pre) AND hyp) OR hyp) AND pre),((((hyp:tok OR pre:tok) AND hyp:tag) OR hyp:tok) AND pre:tag),0.3,5,-0.015419302,0.023419263,0.00020886032
13,pre:tok:in,pre,pre:tok,0.0,1,0.00069109304,-0.022033479,-0.039120488
14,pre:tok:in,pre,pre:tok,0.0,1,0.015123305,0.0017837533,-0.029876685
6,((((hyp:tok:bin OR hyp:tok:professional) AND pre:tok:on) OR hyp:tok:bystanders) OR pre:tok:birds),((((hyp OR hyp) AND pre) OR hyp) OR pre),((((hyp:tok OR hyp:tok) AND pre:tok) OR hyp:tok) OR pre:tok),0.20833333333333334,5,-0.06330322,0.022027269,0.009290368
17,pre:tok:in,pre,pre:tok,0.0,1,0.025361765,-0.016476376,0.056964096
18,pre:tok:in,pre,pre:tok,0.0,1,-0.019470567,0.000523566,0.009931134
19,(hyp:tok:pictured AND pre:tok:to),(hyp AND pre),(hyp:tok AND pre:tok),1.0,2,-0.1768775,0.121300235,0.036597908
20,pre:tok:in,pre,pre:tok,0.0,1,-0.047685917,0.014887502,-0.0166224
21,pre:tok:in,pre,pre:tok,0.0,1,-0.1398688,-0.013232225,-0.01125585
15,((((hyp:tok:sitting AND pre:tok:walking) OR hyp:tok:bib) AND (NOT oth:overlap:overlap50)) OR hyp:tok:swimsuit),((((hyp AND pre) OR hyp) AND (NOT oth)) OR hyp),((((hyp:tok AND pre:tok) OR hyp:tok) AND (NOT oth:overlap)) OR hyp:tok),0.2,6,-0.083393574,-0.05854521,0.086006
22,((hyp:tok:room AND hyp:tok:three) AND hyp:tok:man),((hyp AND hyp) AND hyp),((hyp:tok AND hyp:tok) AND hyp:tok),1.0,3,-0.09668588,-0.05784706,0.07747554
23,pre:tok:in,pre,pre:tok,0.0,1,-0.037423514,0.0160841,-0.034062244
24,pre:tok:in,pre,pre:tok,0.0,1,-0.015223513,-0.0063256756,-0.005850327
25,pre:tok:in,pre,pre:tok,0.0,1,-0.02679691,0.03867717,-0.004318475
26,pre:tok:in,pre,pre:tok,0.0,1,-0.003588027,-0.0051038344,-0.02752106
27,pre:tok:in,pre,pre:tok,0.0,1,-0.0054546325,0.0051495046,-0.0055750064
28,pre:tok:in,pre,pre:tok,0.0,1,0.05356792,0.011551145,-0.110836655
30,pre:tok:in,pre,pre:tok,0.0,1,0.013579237,0.008185605,0.01947304
29,pre:tok:in,pre,pre:tok,0.0,1,-0.016837265,0.0015504936,-0.005478695
31,pre:tok:in,pre,pre:tok,0.0,1,-0.16941042,0.03331916,0.019989252
32,pre:tok:in,pre,pre:tok,0.0,1,-0.017161598,-0.017362177,0.014250665
33,pre:tok:in,pre,pre:tok,0.0,1,-0.02569689,-0.020733181,-0.014042376
34,pre:tok:in,pre,pre:tok,0.0,1,-0.04518038,0.027971389,-0.00947782
35,pre:tok:in,pre,pre:tok,0.0,1,-0.062931135,-0.008127816,0.048144564
36,pre:tok:in,pre,pre:tok,0.0,1,-0.08270176,0.0022155656,0.0072359904
37,pre:tok:in,pre,pre:tok,0.0,1,-0.029064782,-0.0059582936,-0.057603292
38,pre:tok:in,pre,pre:tok,0.0,1,-0.02389088,0.052460905,-0.03918897
39,pre:tok:in,pre,pre:tok,0.0,1,-0.116729215,-0.05308179,0.046814848
40,pre:tok:in,pre,pre:tok,0.0,1,0.01961592,0.07154612,-0.13169406
16,(((((NOT hyp:tag:.) AND hyp:tag:wrb) OR hyp:tok:waters) OR hyp:tok:mcdonald) OR hyp:tok:surrounding),(((((NOT hyp) AND hyp) OR hyp) OR hyp) OR hyp),(((((NOT hyp:tag) AND hyp:tag) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.10526315789473684,6,0.021715952,0.010245283,-0.042337667
41,pre:tok:in,pre,pre:tok,0.0,1,-0.043264575,0.06597239,-0.027513467
43,pre:tok:in,pre,pre:tok,0.0,1,0.05056345,0.037032012,-0.08811786
42,pre:tok:in,pre,pre:tok,0.0,1,-0.0020226776,-0.065245084,0.0029773572
44,pre:tok:in,pre,pre:tok,0.0,1,0.006612241,-0.06660918,-0.064696595
45,pre:tok:in,pre,pre:tok,0.0,1,-0.14389612,-0.014048776,0.017890418
46,pre:tok:in,pre,pre:tok,0.0,1,-0.019136123,-0.0040056366,0.011697231
47,pre:tok:in,pre,pre:tok,0.0,1,0.0138225835,0.018448532,0.0113480715
48,pre:tok:in,pre,pre:tok,0.0,1,0.013414908,-0.04464621,-0.036819622
49,pre:tok:in,pre,pre:tok,0.0,1,-0.052856423,-0.024655763,-0.02181511
50,pre:tok:in,pre,pre:tok,0.0,1,-0.09473563,0.024855418,-0.04968543
52,pre:tok:in,pre,pre:tok,0.0,1,-0.031588376,-0.06022113,0.10149266
51,pre:tok:in,pre,pre:tok,0.0,1,0.01562371,0.026281003,0.013415666
53,pre:tok:in,pre,pre:tok,0.0,1,0.013514537,0.012803634,0.019345026
54,pre:tok:in,pre,pre:tok,0.0,1,-0.08550019,0.017264206,-0.07033782
55,pre:tok:in,pre,pre:tok,0.0,1,0.00833922,0.020001516,-0.030236812
